datetime,3s_1min,3s_3min,3s_5min,3s_15min,3s_30min,3s_60min
2016/6/3 20:30,1.433,6.093,7.543,10.604,14.183,14.84
2016/5/6 20:30,4.445,9.474,5.075,5.744,7.964,1.421
2016/4/1 20:30,0.602,1.861,0.54,-0.909,-9.019,-12.499
2016/3/4 21:30,-1.261,-1.311,-4.03,0.787,7.817,8.836
2016/2/5 21:30,-1.869,-2.03,0.308,-7.21,-9.46,-12.561
2016/1/8 21:30,3.421,1.43,0.612,4.36,6.032,8.833
2015/12/4 21:30,0.714,0.14,-1.371,0.539,4.729,9.789
2015/11/6 21:30,-7.228,-4.378,-4.366,-7.976,-10.416,-10.969
2015/10/2 20:30,0.859,0.472,0.372,14.352,13.14,14.462
2015/9/4 20:30,-3.049,-4.15,-2.663,-2.72,-7.269,-11.722
2015/8/7 20:30,-4.937,-6.707,-8.988,-7.426,-8.888,-0.816
2015/7/2 20:30,-1.49,0.247,1.43,0.068,3.39,2.331
2015/6/5 20:30,0.428,6.5,4.901,1.841,0.721,-3.519
2015/5/8 20:30,-2.213,-4.412,-6.174,-8.378,-4.151,-1.69
2015/4/3 20:30,,,,,,
2015/3/6 21:30,2.027,-9.37,-7.989,-9.11,-11.581,-15.24
2015/2/6 21:30,-1.042,-1.619,-4.27,-2.715,-6.379,-12.456
2015/1/9 21:30,7.134,4.099,5.946,0.959,5.444,4.017
2014/12/5 21:30,-1.942,-5.721,-2.908,-8.828,-5.515,-0.219
2014/11/7 21:30,-3.97,-7.613,-3.976,-5.542,-7.779,-3.749
2014/10/3 20:30,-0.069,0.3,1.881,0.07,2.4,-2.733
2014/9/5 20:30,1.379,1.949,1.014,-1.744,-1.942,-3.946
2014/8/1 20:30,0.95,2.788,0.33,0.288,1.597,8.37
2014/7/3 20:30,0.958,1.023,0.544,4.226,4.339,5.579
2014/6/6 20:30,-2.338,-1.401,1.81,-0.47,1.275,-1.112
2014/5/2 20:30,2.2,3.93,3.935,2.643,9.159,7.604
2014/4/4 20:30,0.11,5.598,7.613,5.231,6.746,7.345
2014/3/7 21:30,-1.691,2.094,-2.877,-6.328,-6,-10.836
2014/2/7 21:30,1.602,0.539,-2.126,-3.391,-9.021,-10.868
2014/1/10 21:30,-3.389,-3.583,-1.863,-4.463,-3.423,-2.664
2013/12/6 21:30,1.802,3.763,3.133,17.542,22.868,17.38
2013/11/8 21:30,0.061,2.331,-2.209,-2.359,-0.019,-5.433
